Date,"Open (CNY, qfq)","High (CNY, qfq)","Low (CNY, qfq)","Close (CNY, qfq)",Volume (shares)
1993/3/4,1.92,2.83,1.92,2.2,922400.0
1993/3/5,2.16,2.35,1.92,2.16,590300.0
1993/3/8,2.28,2.52,2.2,2.22,833100.0
1993/3/9,2.22,2.22,1.99,1.99,262800.0
1993/3/10,1.95,2.1,1.9,2.08,268700.0
1993/3/11,1.98,2.34,1.98,2.29,591100.0
1993/3/12,2.34,2.36,2.18,2.3,548300.0
1993/3/15,2.22,2.35,2.22,2.29,333200.0
1993/3/16,2.22,2.35,2.22,2.34,290800.0
1993/3/17,2.3,2.35,2.28,2.29,104100.0
1993/3/18,2.29,2.29,2.2,2.29,150200.0
1993/3/19,2.28,2.28,2.2,2.23,101800.0
1993/3/22,2.07,2.16,1.87,1.93,202200.0
1993/3/23,1.87,2.04,1.81,1.84,176900.0
1993/3/24,1.89,1.89,1.79,1.82,143000.0
1993/3/25,1.82,1.85,1.76,1.81,73700.0
1993/3/26,1.82,2.04,1.8,2.0,290000.0
1993/3/29,1.92,1.96,1.86,1.9,96600.0
1993/3/30,1.9,1.92,1.82,1.85,88000.0
1993/3/31,1.82,1.86,1.79,1.81,79500.0
1993/4/1,1.8,1.85,1.72,1.84,45600.0
1993/4/2,1.81,1.9,1.81,1.85,57300.0
1993/4/5,1.8,1.9,1.78,1.9,34200.0
1993/4/6,1.86,2.15,1.86,2.15,467000.0
1993/4/7,2.05,2.29,2.05,2.22,471000.0
1993/4/8,2.23,2.69,2.18,2.68,919600.0
1993/4/9,2.75,2.86,2.52,2.64,664400.0
1993/4/12,2.64,2.64,2.35,2.44,360000.0
1993/4/13,2.35,2.76,2.35,2.7,477200.0
1993/4/14,2.81,2.84,2.59,2.68,776500.0
1993/4/15,2.55,3.0,2.55,2.87,1198700.0
1993/4/16,2.87,2.94,2.58,2.64,569900.0
1993/4/19,2.64,2.76,2.52,2.66,218500.0
1993/4/21,2.72,2.75,2.52,2.6,267900.0
1993/4/22,2.58,2.74,2.56,2.74,175100.0
1993/4/23,2.74,2.82,2.58,2.68,229000.0
1993/4/26,2.75,2.77,2.64,2.77,359100.0
1993/4/27,2.81,2.89,2.71,2.89,583800.0
1993/4/28,2.94,2.99,2.83,2.94,588900.0
1993/4/29,2.92,2.99,2.7,2.78,1300400.0
1993/5/3,2.9,2.92,2.76,2.76,209100.0
1993/5/4,2.7,2.76,2.46,2.49,239700.0
1993/5/5,2.44,2.64,2.42,2.55,215300.0
